photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,1.88,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,1.43,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,2.68,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,2.4,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,2.05,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,2.27,0,PRE,,
EZ02_5_F_004_SER,2,100,5,formalin,serranid,C,NA,NA,NA,TRUE,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,3.1,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,2.27,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,2.58,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,3.06,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,2.19,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,3.19,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,3.36,0,PRE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,H,3.25,0.46,FLE,,
EZ02_5_F_005_LAB,2,100,5,formalin,labrid,UNKNOWN,2.71,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.02,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.21,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.33,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.45,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.54,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,3.8,0.5,FLE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,3.11,0,PRE,,
EZ02_5_F_006_LAB,2,100,5,formalin,labrid,UNKNOWN,2.31,0,PRE,,
N02_1_E_001_MUL,2,0,1,ethanol,mullid,A,12.81,3.34,POS,,
N02_1_E_001_MUL,2,0,1,ethanol,mullid,A,7.39,0.95,POS,,
N02_1_F_001_SYD,2,0,1,formalin,synodontid,A,2.42,0,PRE,,
N02_1_F_001_SYD,2,0,1,formalin,synodontid,A,3.87,0,PRE,,
N02_1_F_002_TRI,2,0,1,formalin,triglid,A,2.56,0.14,FLE,,
N02_1_F_003_LAB,2,0,1,formalin,labrid,UNKNOWN,1.91,0,PRE,,
N02_2_E_001_LAB,2,0,2,ethanol,labrid,H,4.14,0.84,FLE,,
N02_2_E_001_LAB,2,0,2,ethanol,labrid,H,4.35,1.27,POS,,
N02_2_E_002_TRI,2,0,2,ethanol,triglid,A,4.23,0.42,FLE,,
N02_2_F_001_POM,2,0,2,formalin,pomacentrid,A,3.17,0.1,FLE,,
N02_2_F_002_SYD,2,0,2,formalin,synodontid,A,4.24,0,PRE,,
EZ03_2_F_001_LAB,3,50,2,formalin,labrid,E,13.71,3.22,POS,,
EZ03_2_F_001_LAB,3,50,2,formalin,labrid,A,5.04,0.2,FLE,,
EZ03_2_F_001_LAB,3,50,2,formalin,labrid,A,6.55,0.53,FLE,,
EZ03_2_F_001_LAB,3,50,2,formalin,labrid,A,7.39,1.1,FLE,,
EZ03_2_F_001_LAB,3,50,2,formalin,labrid,H,4.4,0.93,FLE,,
EZ03_2_F_002_SYD,3,50,2,formalin,synodontid,A,3.99,0.1,FLE,,
EZ03_2_F_002_SYD,3,50,2,formalin,synodontid,A,6.99,0.16,FLE,,
EZ03_2_F_003_SER,3,50,2,formalin,serranid,F,3.33,0,PRE,,
EZ03_2_F_003_SER,3,50,2,formalin,serranid,F,3.59,0,PRE,,
EZ03_2_F_003_SER,3,50,2,formalin,serranid,F,5.15,0.79,FLE,,
EZ03_2_F_003_SER,3,50,2,formalin,serranid,F,6.23,1.47,FLE,,
EZ03_2_F_004_SER,3,50,2,formalin,serranid,F,2.76,0,PRE,,
EZ03_2_F_004_SER,3,50,2,formalin,serranid,B,3.33,0.12,FLE,,
EZ03_2_F_004_SER,3,50,2,formalin,serranid,F,3.2,0,PRE,,
EZ03_2_F_004_SER,3,50,2,formalin,serranid,F,3.33,0,PRE,,
EZ03_2_F_004_SER,3,50,2,formalin,serranid,F,3.57,0,PRE,,
EZ03_2_F_005_SER,3,50,2,formalin,serranid,F,3.15,0,PRE,,
EZ03_2_F_005_SER,3,50,2,formalin,serranid,F,NA,NA,FLE,TRUE,
