Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Haemulidae,Plectorhinchus schotaf,native ,Minstrel sweetlips ,Sombre sweetlips 
Perciformes,Haemulidae,Pomadasys kaakan,native ,Javelin grunter ,Barred javelin 
Beloniformes,Hemiramphidae,Hyporhamphus dussumieri,native ,Dussumier's halfbeak ,Slender garfish 
Orectolobiformes,Hemiscylliidae,Chiloscyllium punctatum,native ,Brownbanded bambooshark ,Grey carpetshark 
Orectolobiformes,Hemiscylliidae,Hemiscyllium ocellatum,native ,Epaulette shark ,Epaulette shark 
Heterodontiformes,Heterodontidae,Heterodontus galeatus,native ,Crested bullhead shark ,Crested horn shark 
Beryciformes,Holocentridae,Myripristis berndti,native ,Blotcheye soldierfish ,Bigscale soldierfish 
Beryciformes,Holocentridae,Myripristis chryseres,native ,Yellowfin soldierfish ,Yellowfin soldierfish 
Beryciformes,Holocentridae,Myripristis hexagona,native ,Doubletooth soldierfish ,Doubletooth soldierfish 
Beryciformes,Holocentridae,Myripristis murdjan,native ,Pinecone soldierfish ,Crimson soldierfish 
Beryciformes,Holocentridae,Ostichthys japonicus,native ,Japanese soldierfish ,Giant squirrelfish 
Beryciformes,Holocentridae,Pristilepis oligolepis,native ,Spinyface soldier ,Rough squirrelfish 
Beryciformes,Holocentridae,Sargocentron caudimaculatum,native ,Silverspot squirrelfish ,Whitetail squirrelfish 
Beryciformes,Holocentridae,Sargocentron diadema,native ,Crown squirrelfish ,Crown squirrelfish 
Beryciformes,Holocentridae,Sargocentron ittodai,native ,Samurai squirrelfish ,Samurai squirrelfish 
Beryciformes,Holocentridae,Sargocentron rubrum,native ,Redcoat ,Red squirrelfish 
Torpediniformes,Hypnidae,Hypnos monopterygius,native ,Australian numbfish ,Coffin ray 
Perciformes,Kuhliidae,Kuhlia mugil,native ,Barred flagtail ,Fivebar flagtail 
Perciformes,Kyphosidae,Atypichthys strigatus,native ,Australian mado ,Mado 
Perciformes,Kyphosidae,Girella zebra,native ,Zebra fish ,Zebrafish 
Perciformes,Kyphosidae,Kyphosus bigibbus,native ,Brown chub ,Grey drummer 
Perciformes,Kyphosidae,Kyphosus cinerascens,native ,Blue sea chub ,Snubnose drummer 
Perciformes,Kyphosidae,Kyphosus vaigiensis,native ,Brassy chub ,Brassy drummer 
Perciformes,Kyphosidae,Microcanthus strigatus,native ,Stripey ,Stripey 
Perciformes,Kyphosidae,Scorpis lineolata,native ,Silver sweep ,Silver sweep 
Perciformes,Labridae,Achoerodus viridis,native ,Eastern blue groper ,Eastern blue groper 
Perciformes,Labridae,Anampses caeruleopunctatus,native ,Bluespotted wrasse ,Diamond wrasse 
Perciformes,Labridae,Anampses elegans,native ,Elegant wrasse ,Elegant wrasse 
Perciformes,Labridae,Anampses femininus,native ,Blue-striped orange tamarin ,Bluetail wrasse 
Perciformes,Labridae,Anampses geographicus,native ,Geographic wrasse ,Scribbled wrasse 
Perciformes,Labridae,Anampses neoguinaicus,native ,New Guinea wrasse ,Blackback wrasse 
Perciformes,Labridae,Austrolabrus maculatus,native ,,Blackspotted wrasse 
Perciformes,Labridae,Bodianus axillaris,native ,Axilspot hogfish ,Coral pigfish 
Perciformes,Labridae,Bodianus frenchii,native ,Foxfish ,Foxfish 
Perciformes,Labridae,Bodianus izuensis,native ,Striped pigfish ,Striped pigfish 
Perciformes,Labridae,Bodianus mesothorax,native ,Splitlevel hogfish ,Eclipse pigfish 
Perciformes,Labridae,Bodianus perditio,native ,Golden-spot hogfish ,Goldspot pigfish 
Perciformes,Labridae,Bodianus unimaculatus,native ,Red pigfish ,Eastern pigfish 
Perciformes,Labridae,Cheilinus chlorourus,native ,Floral wrasse ,Floral maori wrasse 
Perciformes,Labridae,Cheilio inermis,native ,Cigar wrasse ,Sharpnose wrasse 
Perciformes,Labridae,Choerodon cephalotes,native ,Purple tuskfish ,Purple tuskfish 
Perciformes,Labridae,Choerodon cyanodus,native ,Blue tuskfish ,Blue tuskfish 
Perciformes,Labridae,Choerodon graphicus,native ,Graphic tuskfish ,Graphic tuskfish 
Perciformes,Labridae,Choerodon venustus,native ,Venus tuskfish ,Venus tuskfish 
Perciformes,Labridae,Cirrhilabrus punctatus,native ,Dotted wrasse ,Finespot wrasse 
Perciformes,Labridae,Coris aurilineata,native ,Goldlined coris ,Goldlined wrasse 
Perciformes,Labridae,Coris aygula,native ,Clown coris ,Redblotched wrasse 
Perciformes,Labridae,Coris batuensis,native ,Batu coris ,Variegated wrasse 
Perciformes,Labridae,Coris bulbifrons,native ,Doubleheader ,Doubleheader 
Perciformes,Labridae,Coris dorsomacula,native ,Pale-barred coris ,Pinklined wrasse 
Perciformes,Labridae,Coris gaimard,native ,African coris ,Clown wrasse 
Perciformes,Labridae,Coris picta,native ,Comb wrasse ,Comb wrasse 
Perciformes,Labridae,Coris pictoides,native ,Blackstripe coris ,Pixy wrasse 
Perciformes,Labridae,Coris sandeyeri,native ,Sandager's wrasse ,Eastern king wrasse 
Perciformes,Labridae,Cymolutes torquatus,native ,Finescale razorfish ,Razor wrasse 
Perciformes,Labridae,Halichoeres biocellatus,native ,Red-lined wrasse ,False-eyed wrasse 
Perciformes,Labridae,Halichoeres chrysus,native ,Canary wrasse ,Golden wrasse 
Perciformes,Labridae,Halichoeres hartzfeldii,native ,Hartzfeld's wrasse ,Orangeline wrasse 
Perciformes,Labridae,Halichoeres hortulanus,native ,Checkerboard wrasse ,Checkerboard wrasse 
Perciformes,Labridae,Halichoeres margaritaceus,native ,Pink-belly wrasse ,Pearly wrasse 
Perciformes,Labridae,Halichoeres marginatus,native ,Dusky wrasse ,Dusky wrasse 
Perciformes,Labridae,Halichoeres nebulosus,native ,Nebulous wrasse ,Cloud wrasse 
Perciformes,Labridae,Halichoeres prosopeion,native ,Twotone wrasse ,Twotone wrasse 
Perciformes,Labridae,Hemigymnus fasciatus,native ,Barred thicklip ,Fiveband wrasse 
Perciformes,Labridae,Hemigymnus melapterus,native ,Blackeye thicklip ,Thicklip wrasse 
Perciformes,Labridae,Hologymnosus annulatus,native ,Ring wrasse ,Ringed slender wrasse 
Perciformes,Labridae,Hologymnosus doliatus,native ,Pastel ringwrasse ,Pastel slender wrasse 
Perciformes,Labridae,Iniistius pavo,native ,Peacock wrasse ,Blue razorfish 
Perciformes,Labridae,Labroides dimidiatus,native ,Bluestreak cleaner wrasse ,Common cleanerfish 
Perciformes,Labridae,Leptojulis cyanopleura,native ,Shoulder-spot wrasse ,Shoulderspot wrasse 
Perciformes,Labridae,Macropharyngodon choati,native ,Choat's wrasse ,Choat's wrasse 
Perciformes,Labridae,Macropharyngodon kuiteri,native ,Black leopard wrasse ,Kuiter's wrasse 
Perciformes,Labridae,Macropharyngodon meleagris,native ,Blackspotted wrasse ,Leopard wrasse 
Perciformes,Labridae,Macropharyngodon negrosensis,native ,Yellowspotted wrasse ,Black leopard wrasse 
