HABITAT,PATCH_NUM,REGION,Desc
Other,732,NSW13,Jervis
Reef,733,NSW13,Jervis
Other,737,NSW13,Jervis
Reef,740,NSW13,Jervis
Other,743,NSW13,Jervis
Reef,746,NSW13,Jervis
Other,748,NSW14,Ulladulla
Reef,751,NSW14,Ulladulla
Reef,753,NSW14,Ulladulla
Other,757,NSW14,Ulladulla
Reef,759,NSW14,Ulladulla
Other,760,NSW14,Ulladulla
Reef,765,NSW14,Ulladulla
Other,766,NSW14,Ulladulla
Other,771,NSW14,Ulladulla
Reef,773,NSW15,Batemans
Other,778,NSW15,Batemans
Reef,781,NSW15,Batemans
Other,782,NSW15,Batemans
Reef,783,NSW15,Batemans
Reef,787,NSW15,Batemans
Other,789,NSW15,Batemans
Reef,796,NSW15,Batemans
Other,797,NSW15,Batemans
Reef,800,NSW15,Batemans
Reef,804,NSW15,Batemans
Other,806,NSW15,Batemans
Reef,807,NSW15,Batemans
Other,809,NSW15,Batemans
Reef,812,NSW15,Batemans
Reef,814,NSW15,Batemans
Other,818,NSW15,Batemans
Other,823,NSW15,Batemans
Reef,825,NSW15,Batemans
Reef,828,NSW15,Batemans
Other,829,NSW15,Batemans
Reef,831,NSW15,Batemans
Other,833,NSW15,Batemans
Other,834,NSW15,Batemans
Reef,835,NSW15,Batemans
Reef,839,NSW15,Batemans
Other,843,NSW16,Merimbula
Reef,844,NSW16,Merimbula
Other,847,NSW16,Merimbula
Other,849,NSW16,Merimbula
Reef,853,NSW16,Merimbula
Other,856,NSW16,Merimbula
Reef,859,NSW16,Merimbula
Other,860,NSW16,Merimbula
Reef,864,NSW16,Merimbula
Reef,865,NSW16,Merimbula
Other,868,NSW16,Merimbula
Reef,872,NSW16,Merimbula
Other,873,NSW16,Merimbula
Reef,878,NSW16,Merimbula
Other,881,NSW16,Merimbula
Reef,883,NSW16,Merimbula
Other,884,NSW17,Eden
Reef,889,NSW17,Eden
Other,890,NSW17,Eden
Reef,896,NSW17,Eden
Other,899,NSW17,Eden
Other,901,NSW17,Eden
Reef,902,NSW17,Eden
Other,908,NSW17,Eden
Reef,910,NSW17,Eden
Reef,911,NSW17,Eden
Other,912,NSW17,Eden
Other,918,NSW17,Eden
Reef,920,NSW17,Eden
Reef,921,NSW17,Eden
Reef,922,NSW18,Lord Howe
Other,923,VIC,Victoria
Other,924,VIC,Victoria
Other,925,VIC,Victoria
Other,926,VIC,Victoria
Other,927,VIC,Victoria
Other,928,VIC,Victoria
Other,929,VIC,Victoria
Other,930,VIC,Victoria
Other,931,VIC,Victoria
Other,932,VIC,Victoria
Other,933,VIC,Victoria
Other,934,VIC,Victoria
Other,935,VIC,Victoria
Other,936,VIC,Victoria
Other,937,VIC,Victoria
Other,938,VIC,Victoria
Other,939,VIC,Victoria
Other,940,VIC,Victoria
Other,941,VIC,Victoria
Other,942,VIC,Victoria
Other,943,VIC,Victoria
Other,944,VIC,Victoria
Other,945,VIC,Victoria
Other,946,VIC,Victoria
Other,947,VIC,Victoria
Other,948,VIC,Victoria
Other,949,VIC,Victoria
Other,950,VIC,Victoria
Other,951,VIC,Victoria
Other,952,VIC,Victoria
Other,953,VIC,Victoria
Other,954,VIC,Victoria
Other,955,VIC,Victoria
Other,956,VIC,Victoria
Other,957,VIC,Victoria
Other,958,VIC,Victoria
Other,959,VIC,Victoria
Other,960,VIC,Victoria
Other,961,VIC,Victoria
Other,962,VIC,Victoria
Other,963,VIC,Victoria
Other,964,VIC,Victoria
Other,965,VIC,Victoria
Other,966,VIC,Victoria
Other,967,VIC,Victoria
Other,968,VIC,Victoria
Other,969,VIC,Victoria
Other,970,VIC,Victoria
Other,971,VIC,Victoria
Other,972,VIC,Victoria
Reef,1000,NSW18,Lord Howe
Reef,1001,NSW19,Elizabeth-middleton
Reef,1002,NSW19,Elizabeth-middleton
Other,1004,NZ,Norfolk Is.
Other,1003,NFI,New Zealand
